coding,ordered,reassignment,out,todiscard
7,0,NA,NA,0
9,0,NA,NA,0|NA
21,0,NA,NA,0
24,0,NA,NA,NA
90,1,NA,-3,NA
470,0,NA,NA,NA
682,1,-1=NA,NA,NA
909,-1,0=NA,NA,NA
1001,0,NA,NA,NA
7667,-1,-99999=NA,NA,NA
100262,1,NA,NA,NA
100267,1,1=2|2=1,NA,NA
100286,0,NA,NA,NA
100287,0,NA,NA,NA
100288,0,NA,NA,NA
100289,0,NA,NA,NA
100290,-1,-10=0.5,-1|-3,NA
100291,-1,NA,-1|-3,NA
100292,0,NA,NA,NA
100293,1,1=0|2=1|3=2|4=3|5=4,-1|-3,NA
100294,1,NA,-1|-3,NA
100295,0,NA,NA,NA
100298,-1,-10=0.5,-1|-3,NA
100299,0,NA,-3,NA
100300,-1,-10=0.5,-1|-3,NA
100301,1,NA,-1|-3,NA
100305,0,NA,NA,NA
100306,-1,NA,-1|-2|-3,NA
100307,-1,NA,-1|-2|-3,NA
100313,1,NA,-7|-3,NA
100314,1,NA,-1|-3,NA
100316,0,NA,NA,NA
100317,1,NA,-1|-3,NA
100318,1,NA,-1|-3,NA
100327,1,7=6,-1|-3,NA
100328,0,NA,NA,NA
100329,-1,-10=0.5,-1|-3,NA
100334,1,5=1,-1|-3,NA
100335,1,NA,-1|-3,NA
100336,1,NA,-1|-3,NA
100337,1,NA,-1|-3,NA
100338,1,3=2|1=0|0=1,-1|-3,NA
100339,0,NA,NA,NA
100341,1,NA,-1|-3,NA
100342,1,NA,-1|-3,NA
100343,1,NA,-3,NA
100345,0,NA,NA,2
100346,1,NA,-1|-3,NA
100347,1,1=2|2=1,-3,NA
100348,1,NA,-3,NA
100349,0,NA,NA,0
100351,0,NA,NA,NA
100352,0,NA,NA,0
100353,-1,-10=0.5,-1,NA
100355,-1,-10=0.5,-1|-3,NA
100356,1,NA,-1|-3,NA
100360,1,NA,-3,NA
100361,0,NA,NA,NA
100370,1,NA,-3,NA
100373,-1,-10=0.5,-1|-3,NA
100377,1,NA,-1|-3,NA
100385,0,NA,NA,NA
100387,0,NA,NA,NA
100388,0,NA,NA,NA
100389,0,NA,NA,NA
100391,0,NA,NA,NA
100393,0,NA,NA,NA
100394,1,NA,-3,NA
100397,0,NA,NA,NA
100398,1,NA,-2|-3,NA
100400,0,NA,NA,NA
100401,1,NA,-1|-3,NA
100402,1,NA,-3,NA
100416,0,NA,NA,0
100417,1,NA,-1|-3,NA
100418,0,NA,NA,NA
100430,0,NA,NA,NA
100431,1,NA,-1|-3,NA
100432,1,NA,-1|-3,NA
100434,0,NA,NA,NA
100435,1,2=3|3=2,-1|-3,NA
100484,1,NA,-1|-3,NA
100498,0,NA,NA,NA
100499,1,12=0|11=1|13=2,-1|-3,NA
100500,0,NA,NA,NA
100501,1,NA,-1|-3,NA
100502,0,NA,NA,NA
100508,1,NA,-1|-3,NA
100510,0,NA,NA,NA
100511,1,NA,-1|-3,NA
100514,0,NA,NA,NA
100536,1,NA,-1|-3|5,NA
100537,-1,-10=0.5,-1|-3,NA
100539,1,NA,-3,NA
100540,1,0=1|3=0,-1|-3,NA
100549,1,NA,-1|-3,NA
100550,0,NA,NA,NA
100553,0,NA,NA,NA
100563,0,NA,NA,0
100564,0,NA,NA,0
100570,1,NA,-1|-3,NA
100572,0,NA,NA,NA
100579,0,NA,NA,0
100582,-1,NA,-1|-3|-6,NA
100584,-1,NA,-3,NA
100585,-1,NA,-1|-2|-3,NA
100586,-1,NA,-4|-3,NA
100599,0,NA,NA,0
100631,0,NA,NA,0
100635,1,11=4|12=3|13=2|14=1,-1|-3,NA
100636,1,11=1|12=2|13=3,-1|-3,NA
100637,1,11=3|12=2|13=1,-1|-3,NA
100639,1,NA,-3,NA
100694,0,NA,NA,NA
100695,0,NA,NA,NA
