FieldID,Instance,Field,ValueType,Coding,Class_top,Class_detail,Missing,NA_process,Priority,Keep,Imp_name
31,0,Sex,Categorical single,9,Baseline characteristics,baseline,"0, MCAR",NA,1,NA,Sex
46,0,Hand grip strength (left),Integer,NA,Measures,physical,"0, MCAR",NA,1,NA,Hand grip strength
47,0,Hand grip strength (right),Integer,NA,Measures,physical,"0, MCAR",NA,1,NA,Hand grip strength
48,0,Waist circumference,Continuous,NA,Baseline characteristics,baseline,"0, MCAR",NA,1,NA,Waist circumference
49,0,Hip circumference,Continuous,NA,Baseline characteristics,baseline,"0, MCAR",NA,1,NA,Hip circumference
50,0,Standing height,Continuous,NA,Baseline characteristics,baseline,"0, MCAR",NA,1,NA,Standing height
51,0,Seated height,Continuous,NA,Measures,physical,"0, MCAR",NA,1,NA,Seated height
78,0,"Heel bone mineral density (BMD) T-score, automated",Continuous,NA,Measures,physical,"0, MCAR",NA,3,NA,Heel bone mineral density (BMD)
102,0,"Pulse rate, automated reading",Integer,NA,Measures,physical,"0, MCAR",NA,1,NA,Pulse rate
670,0,Type of accommodation lived in,Categorical single,100286,Natural and social environment,household,"0, MCAR",NA,1,NA,Type of accommodation
680,0,Own or rent accommodation lived in,Categorical single,100287,Natural and social environment,household,"2, MAR",NA,1,NA,Own or rent accommodation
699,0,Length of time at current address,Integer,100290,Natural and social environment,household,"0, MCAR",NA,1,NA,Length of time at current address
709,0,Number in household,Integer,100291,Natural and social environment,household,"2, MAR",NA,1,NA,Number in household
728,0,Number of vehicles in household,Categorical single,100293,Natural and social environment,household,"2, MAR",NA,1,NA,Number of vehicles in household
738,0,Average total household income before tax,Categorical single,100294,Natural and social environment,household,"2, MAR",NA,1,NA,Average total household income before tax
757,0,Time employed in main current job,Integer,100290,Baseline characteristics,job,"2, MAR",NA,2,NA,Time employed in main current job
767,0,Length of working week for main job,Integer,100291,Baseline characteristics,job,"2, MAR",NA,2,NA,Length of working week for main job
777,0,Frequency of travelling from home to job workplace,Integer,100298,Baseline characteristics,job,"2, MAR",NA,2,NA,Frequency of travelling from home to workplace
796,0,Distance between home and job workplace,Integer,100300,Baseline characteristics,job,"2, MAR",NA,2,NA,Distance between home and workplace
806,0,Job involves mainly walking or standing,Categorical single,100301,Life,activity,"2, MAR",NA,2,NA,Job involves mainly walking or standing
816,0,Job involves heavy manual or physical work,Categorical single,100301,Life,activity,"2, MAR",NA,2,NA,Job involves heavy manual or physical work
826,0,Job involves shift work,Categorical single,100301,Life,activity,"2, MAR",NA,2,NA,Job involves shift work
845,0,Age completed full time education,Integer,100306,Baseline characteristics,education,"2, MAR",NA,2,NA,Age completed full time education
864,0,Number of days/week walked 10+ minutes,Integer,100307,Life,activity,"0, MCAR",NA,1,NA,Number of days/week walked 10+ minutes
874,0,Duration of walks,Integer,100291,Life,activity,"1, manually","0, if 864",2,NA,Duration of walks
