,0,1,2,3
0,1001,lung cancer,165.1,Cancer of bronchus; lung
1,1002,breast cancer,174.11,Malignant neoplasm of female breast
2,1003,skin cancer,172.2,Other non-epithelial cancer of skin
3,1004,cancer of lip/mouth/pharynx/oral cavity,145.0,Cancer of mouth
4,1004,cancer of lip/mouth/pharynx/oral cavity,145.1,Cancer of lip
5,1004,cancer of lip/mouth/pharynx/oral cavity,145.2,Cancer of tongue
6,1004,cancer of lip/mouth/pharynx/oral cavity,145.4,Cancer of the gums
7,1004,cancer of lip/mouth/pharynx/oral cavity,145.5,Cancer of the mouth floor
8,1004,cancer of lip/mouth/pharynx/oral cavity,149.0,"Cancer of larynx, pharynx, nasal cavities"
9,1004,cancer of lip/mouth/pharynx/oral cavity,149.1,Cancer of oropharynx
10,1004,cancer of lip/mouth/pharynx/oral cavity,149.3,Cancer of hypopharynx
11,1005,salivary gland cancer,145.3,Cancer of major salivary glands
12,1006,larynx/throat cancer,149.4,Cancer of larynx
13,1007,nasal cavity cancer,149.9,Cancer of of nasal cavities
14,1008,ear cancer,149.9,Cancer of of nasal cavities
15,1009,sinus cancer,149.9,Cancer of of nasal cavities
16,1010,lip cancer,145.1,Cancer of lip
17,1011,tongue cancer,145.2,Cancer of tongue
18,1012,gum cancer,145.4,Cancer of the gums
19,1015,parotid gland cancer,145.3,Cancer of major salivary glands
20,1016,other salivary gland cancer,145.3,Cancer of major salivary glands
21,1017,oesophageal cancer,150.0,Cancer of esophagus
22,1018,stomach cancer,151.0,Cancer of stomach
23,1019,small intestine/small bowel cancer,159.2,"Malignant neoplasm of small intestine, including duodenum"
24,1020,large bowel cancer/colorectal cancer,153.2,Colon cancer
25,1020,large bowel cancer/colorectal cancer,153.3,"Malignant neoplasm of rectum, rectosigmoid junction, and anus"
26,1021,anal cancer,153.3,"Malignant neoplasm of rectum, rectosigmoid junction, and anus"
27,1022,colon cancer/sigmoid cancer,153.2,Colon cancer
28,1022,colon cancer/sigmoid cancer,153.3,"Malignant neoplasm of rectum, rectosigmoid junction, and anus"
29,1023,rectal cancer,153.3,"Malignant neoplasm of rectum, rectosigmoid junction, and anus"
30,1024,liver/hepatocellular cancer,155.1,"Malignant neoplasm of liver, primary"
31,1025,gallbladder/bile duct cancer,159.3,Malignant neoplasm of gallbladder and extrahepatic bile ducts
32,1026,pancreas cancer,157.0,Pancreatic cancer
33,1027,small cell lung cancer,165.1,Cancer of bronchus; lung
34,1028,non-small cell lung cancer,165.1,Cancer of bronchus; lung
35,1029,peripheral nerve/autonomic nerve cancer,170.2,Cancer of connective tissue
36,1030,eye and/or adnexal cancer,190.0,Cancer of eye
37,1031,meningeal cancer / malignant meningioma,191.1,Cancer of brain and nervous system
38,1032,brain cancer / primary malignant brain tumour,191.11,Cancer of brain
39,1033,spinal cord or cranial nerve cancer,191.1,Cancer of brain and nervous system
40,1034,kidney/renal cell cancer,189.11,"Malignant neoplasm of kidney, except pelvis"
41,1035,bladder cancer,189.21,Malignant neoplasm of bladder
42,1036,other cancer of urinary tract,189.4,Malignant neoplasm of other urinary organs
43,1037,female genital tract cancer,180.1,Cervical cancer
44,1037,female genital tract cancer,182.0,Malignant neoplasm of uterus
45,1037,female genital tract cancer,184.1,Malignant neoplasm of ovary and other uterine adnexa
46,1037,female genital tract cancer,184.11,Malignant neoplasm of ovary
47,1037,female genital tract cancer,184.2,Cancer of other female genital organs (excluding uterus and ovary)
48,1038,male genital tract cancer,185.0,Cancer of prostate
49,1038,male genital tract cancer,187.1,Malignant neoplasm of unspecified male genital organ
50,1038,male genital tract cancer,187.2,Malignant neoplasm of testis
51,1039,ovarian cancer,184.11,Malignant neoplasm of ovary
52,1040,uterine/endometrial cancer,182.0,Malignant neoplasm of uterus
53,1041,cervical cancer,180.1,Cervical cancer
54,1042,vaginal cancer,184.2,Cancer of other female genital organs (excluding uterus and ovary)
55,1043,vulval cancer,184.2,Cancer of other female genital organs (excluding uterus and ovary)
